,0,1,2,3,4,5,6,7,8,9
0,0.000±0.000,0.116±0.088,0.080±0.079,0.058±0.061,0.026±0.032,0.074±0.059,0.116±0.085,0.071±0.064,0.013±0.026,0.042±0.047
1,0.020±0.034,0.000±0.000,0.016±0.032,0.012±0.028,0.102±0.134,0.004±0.017,0.039±0.039,0.028±0.045,0.004±0.017,0.000±0.000
2,0.339±0.146,0.441±0.306,0.000±0.000,0.242±0.131,0.221±0.146,0.269±0.130,0.135±0.136,0.662±0.239,0.102±0.110,0.156±0.115
3,0.127±0.124,0.291±0.235,0.285±0.181,0.000±0.000,0.152±0.171,0.734±0.235,0.079±0.088,0.261±0.155,0.121±0.138,0.194±0.201
4,0.317±0.220,0.692±0.290,0.235±0.162,0.141±0.109,0.000±0.000,0.252±0.201,0.258±0.164,0.393±0.281,0.082±0.099,0.446±0.218
5,0.244±0.197,0.384±0.233,0.161±0.167,0.608±0.259,0.154±0.124,0.000±0.000,0.328±0.235,0.279±0.250,0.161±0.167,0.223±0.156
6,0.294±0.229,0.174±0.163,0.126±0.096,0.036±0.086,0.072±0.070,0.120±0.126,0.000±0.000,0.144±0.105,0.030±0.064,0.078±0.109
7,0.032±0.055,0.189±0.189,0.069±0.084,0.025±0.051,0.114±0.112,0.057±0.093,0.057±0.093,0.000±0.000,0.025±0.051,0.095±0.125
8,0.381±0.190,0.537±0.274,0.332±0.254,0.862±0.282,0.332±0.220,0.530±0.223,0.198±0.169,0.459±0.199,0.000±0.000,0.360±0.181
9,0.238±0.194,0.189±0.130,0.085±0.103,0.067±0.090,0.445±0.253,0.085±0.087,0.420±0.284,1.011±0.306,0.049±0.097,0.000±0.000
